station,station name,station name english,on_line
tokyo-metro-王子駅,王子駅,Ōji,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-王子神谷駅,王子神谷駅,Ōji-Kamiya,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-志茂駅,志茂駅,Shimo,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-赤羽岩淵駅,赤羽岩淵駅,Akabane-Iwabuchi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-N
tokyo-metro-和光市駅,和光市駅,Wakōshi,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-地下鉄成増駅,地下鉄成増駅,Chikatetsu-Narimasu,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-地下鉄赤塚駅,地下鉄赤塚駅,Chikatetsu-Akatsuka,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-平和台駅,平和台駅,Heiwadai,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-氷川台駅,氷川台駅,Hikawadai,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-小竹向原駅,小竹向原駅,Kotake-Mukaihara,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-千川駅,千川駅,Senkawa,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-要町駅,要町駅,Kanamechō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-池袋駅,池袋駅,Ikebukuro,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-雑司が谷駅,雑司が谷駅,Zōshigaya,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-西早稲田駅,西早稲田駅,Nishi-Waseda,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-東新宿駅,東新宿駅,Higashi-Shinjuku,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-新宿三丁目駅,新宿三丁目駅,Shinjuku-Sanchōme,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-北参道駅,北参道駅,Kitasandō,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-明治神宮前〈原宿〉駅,明治神宮前〈原宿〉駅,Meiji-Jingūmae,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
tokyo-metro-渋谷駅,渋谷駅,Shibuya,http://datadock.io/kal/data/id/resource/line/tokyo-metro-F
